Gender,Age Group,Field of Occupation,Social Media Platforms,Time Spent on Social Media,Devices Used,Preferred Medium,Logged in Frequency,Social Media Use in Office,Routine at Work,Importance to Daily Worklife,Addicted to Social Media,Distraction at Work,Activities on Social Media,Impact on Goals,Impact on general Output
Male,25 - 44,Employed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc),Laptops","Twitter,Instagram",Occasionally,Yes,Yes,Prefer not to say,No,Yes,"Chat,Play games",Yes,Partly
Male,25 - 44,Freelancer,More than 3,2 hours and above,"Smart phones (Android,iOS,etc)","Facebook,Instagram,Others",Often,Yes,Yes,Yes,Yes,No,"Check Newsfeed,Chat",Yes,Greatly
Male,15 - 24,Employed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc),Laptops",Instagram,Occasionally,Yes,Yes,Yes,Yes,Prefer not to say,"Check Newsfeed,Chat",Yes,Greatly
Male,25 - 44,Unemployed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc)",Instagram,Often,Yes,Yes,Yes,Yes,No,Check Newsfeed ,Yes,Partly
Male,25 - 44,Freelancer,More than 3,2 hours and above,"Smart phones (Android,iOS,etc)","Facebook,Instagram",Often,Yes,Yes,Yes,Prefer not to say,Yes,"Check Newsfeed,Chat,Others",Yes,Greatly
Male,15 - 24,Unemployed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc)",Twitter,Often,No,No,Yes,Yes,No,Check Newsfeed ,No,Partly
Male,25 - 44,Unemployed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",Facebook,Occasionally,No,No,Yes,No,No,Check Newsfeed ,Yes,Partly
Male,15 - 24,Unemployed,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc),Laptops","Facebook,Twitter",Often,Yes,Yes,Yes,No,No,"Check Newsfeed,Chat,Others",Yes,Partly
Female,25 - 44,Employed,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Facebook,Often,Yes,No,Prefer not to say,Yes,No,"Check Newsfeed,Chat",No,Badly
Male,15 - 24,Freelancer,3,2 hours and above,"Smart phones (Android,iOS,etc),Laptops","Twitter,Instagram",Often,No,No,No,No,Yes,"Check Newsfeed,Chat",No,Partly
Female,15 - 24,Unemployed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc),Laptops","Twitter,Instagram,Others",Often,Yes,Yes,Yes,Yes,Yes,"Check Newsfeed,Chat",Yes,Greatly
Female,25 - 44,Employed,3,2 hours and above,"Smart phones (Android,iOS,etc),Laptops","Twitter,Instagram,SnapChat",Often,Yes,Yes,Yes,No,No,"Check Newsfeed,Chat",Yes,Partly
Female,15 - 24,Unemployed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc)",Others,Often,Yes,Yes,Yes,Prefer not to say,No,Chat,Yes,Greatly
Male,25 - 44,Employed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc)","Facebook,Twitter,Instagram,Others",Often,Yes,No,Yes,No,Yes,"Check Newsfeed,Chat,Others",Yes,Partly
Female,25 - 44,Employed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc),Laptops",Instagram,Often,Yes,No,Yes,Yes,No,Others,No,Partly
Male,15 - 24,Employed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc),Laptops",Twitter,Often,Yes,Yes,Yes,Yes,Prefer not to say,"Check Newsfeed,Chat,Others",Yes,Greatly
Male,25 - 44,Freelancer,More than 3,2 hours and above,"Smart phones (Android,iOS,etc),Laptops,Others","Facebook,Twitter,Instagram,Others",Often,Yes,Yes,Yes,Yes,No,"Check Newsfeed,Chat,Others",Yes,Partly
Female,25 - 44,Freelancer,More than 3,2 hours and above,"Smart phones (Android,iOS,etc)","Facebook,Instagram,Others",Often,Yes,No,Yes,No,No,"Check Newsfeed,Chat,Others",Yes,Prefer not to say
Male,25 - 44,Employed,3,2 hours and above,"Smart phones (Android,iOS,etc),Laptops","Twitter,Others",Often,No,No,Prefer not to say,Yes,Yes,"Check Newsfeed,Chat",Yes,Greatly
Female,25 - 44,Unemployed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc)",Twitter,Occasionally,No,No,Yes,No,Yes,Check Newsfeed ,Yes,Greatly
Female,15 - 24,Unemployed,3,2 hours and above,"Smart phones (Android,iOS,etc)",Others,Often,No,No,Yes,Yes,Yes,Chat,Yes,Partly
Female,15 - 24,Unemployed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc)",SnapChat,Often,Yes,No,No,Yes,Yes,"Check Newsfeed,Chat,Others",Yes,Partly
Male,25 - 44,Employed,More than 3,Less than 1 hour,"Smart phones (Android,iOS,etc),Laptops","Facebook,Others",Occasionally,Yes,Yes,Yes,No,Yes,"Check Newsfeed,Chat,Play games,Others",Yes,Greatly
Female,25 - 44,Unemployed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc)",Instagram,Often,Yes,Yes,Yes,No,No,"Check Newsfeed,Others",Yes,Greatly
Female,25 - 44,Employed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc),Laptops","Facebook,Twitter",Often,Yes,Yes,Yes,No,No,"Check Newsfeed,Chat",Yes,Greatly
Male,15 - 24,Freelancer,More than 3,2 hours and above,"Smart phones (Android,iOS,etc)",Twitter,Often,Yes,No,Yes,Yes,No,Check Newsfeed ,Yes,Partly
Female,15 - 24,Employed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc)",Facebook,Often,Yes,No,Yes,No,No,"Check Newsfeed,Chat",Yes,Greatly
Male,15 - 24,Employed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc)",Others,Often,Yes,Yes,Yes,No,No,Others,Yes,Greatly
Male,25 - 44,Freelancer,More than 3,2 hours and above,"Smart phones (Android,iOS,etc)","Facebook,Twitter,Instagram,Others",Often,No,Yes,Yes,Prefer not to say,No,"Check Newsfeed,Chat,Others",Yes,Prefer not to say
Female,25 - 44,Employed,More than 3,2 hours and above,Others,Facebook,Often,Yes,Yes,Yes,No,Prefer not to say,"Check Newsfeed,Chat,Others",Yes,Prefer not to say
Female,15 - 24,Unemployed,3,Less than 1 hour,"Smart phones (Android,iOS,etc)",Others,Occasionally,No,No,Yes,No,Yes,Check Newsfeed ,Yes,Prefer not to say
Male,25 - 44,Employed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc)","Facebook,Instagram,Others",Occasionally,Yes,No,Yes,Yes,No,Check Newsfeed ,Yes,Prefer not to say
Male,25 - 44,Employed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc)",Others,Often,No,No,Prefer not to say,Prefer not to say,Prefer not to say,Check Newsfeed ,Yes,Greatly
Male,15 - 24,Employed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc)","Twitter,Instagram",Often,Yes,Yes,Yes,No,Yes,"Check Newsfeed,Chat",Yes,Greatly
Female,15 - 24,Unemployed,3,2 hours and above,"Smart phones (Android,iOS,etc)",Instagram,Often,No,No,Prefer not to say,No,Yes,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,3,2 hours and above,"Smart phones (Android,iOS,etc)",Others,Often,Yes,No,No,Yes,No,"Check Newsfeed,Chat",No,Partly
Male,25 - 44,Employed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc),Laptops",Facebook,Often,Yes,No,Yes,Prefer not to say,No,"Check Newsfeed,Chat",No,Greatly
Male,25 - 44,Employed,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)","Facebook,Others",Occasionally,No,No,No,No,No,"Check Newsfeed,Chat",No,Badly
Male,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)","Facebook,Others",Occasionally,Yes,No,Yes,No,No,Check Newsfeed ,No,Partly
Male,15 - 24,Employed,More than 3,Less than 1 hour,"Smart phones (Android,iOS,etc)",Facebook,Occasionally,No,Yes,Yes,No,Prefer not to say,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,3,2 hours and above,"Smart phones (Android,iOS,etc)",Facebook,Often,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Prefer not to say
Female,15 - 24,Employed,3,2 hours and above,"Smart phones (Android,iOS,etc)",Instagram,Occasionally,Yes,No,Yes,No,No,Chat,Yes,Partly
Male,25 - 44,Freelancer,More than 3,2 hours and above,"Smart phones (Android,iOS,etc),Laptops",Facebook,Often,Yes,Yes,Yes,No,Prefer not to say,"Check Newsfeed,Chat,Others",Yes,Greatly
Male,15 - 24,Freelancer,More than 3,2 hours and above,"Smart phones (Android,iOS,etc),Laptops","Facebook,Twitter,Instagram,SnapChat",Often,Yes,Yes,Yes,Yes,No,"Check Newsfeed,Chat,Play games",Yes,Greatly
Male,25 - 44,Employed,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Others,Occasionally,No,No,No,No,Yes,"Chat,Others",No,Partly
Male,15 - 24,Freelancer,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Others,Often,No,No,Yes,No,No,"Check Newsfeed,Chat,Others",Yes,Prefer not to say
Male,25 - 44,Employed,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Instagram,Often,No,Yes,Yes,No,No,Check Newsfeed ,Yes,Prefer not to say
Male,25 - 44,Employed,More than 3,2 hours and above,"Smart phones (Android,iOS,etc),Laptops",Others,Often,Yes,Yes,Yes,No,No,"Check Newsfeed,Chat,Others",Yes,Partly
Male,25 - 44,Unemployed,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc),Laptops",Facebook,Occasionally,No,No,Yes,No,Yes,Check Newsfeed ,Yes,Partly
Female,25 - 44,Employed,1,Less than 1 hour,"Smart phones (Android,iOS,etc)","Facebook,Twitter",Occasionally,No,Yes,Yes,No,Yes,Others,Yes,Partly
Female,25 - 44,Employed,1,Less than 1 hour,"Smart phones (Android,iOS,etc)",Instagram,Occasionally,Yes,Yes,Yes,No,Yes,Others,Yes,Partly
Male,25 - 44,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Facebook,Frequently,Yes,No,Prefer not to say,No,No,Check Newsfeed ,Yes,Partly
Male,25 - 44,Employed,3,2 Hours and above,"Smart phones (Android,iOS,etc)","Facebook,Twitter",Frequently,Yes,Yes,Yes,Prefer not to say,No,"Check Newsfeed,Others",Yes,Greatly
Male,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Instagram,Frequently,Yes,No,No,No,No,Check Newsfeed ,No,Partly
Male,25 - 44,Employed,3,2 Hours and above,"Smart phones (Android,iOS,etc)",Twitter,Frequently,Yes,No,Yes,No,No,Check Newsfeed ,Yes,Partly
Male,25 - 44,Employed,1,2 Hours and above,Others,Facebook,Frequently,Yes,No,Yes,Yes,No,Check Newsfeed ,Yes,Partly
Male,25 - 44,Employed,3,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,Yes,No,Check Newsfeed ,Yes,Partly
Male,25 - 44,Employed,More than 3,2 Hours and above,"Smart phones (Android,iOS,etc)",Facebook,Frequently,No,No,Prefer not to say,Prefer not to say,No,"Check Newsfeed,Chat",Yes,Others
Female,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc)",Facebook,Frequently,No,No,Yes,No,No,Check Newsfeed ,Yes,Greatly
Male,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,Yes,Yes,No,No,Check Newsfeed ,Yes,Partly
Male,25 - 44,Employed,3,2 Hours and above,Laptops,Twitter,Occasionally,Yes,Yes,Yes,No,No,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",Facebook,Occasionally,No,Yes,Prefer not to say,No,Yes,Check Newsfeed ,Yes,Greatly
Female,25 - 44,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,Yes,Prefer not to say,Check Newsfeed ,Yes,Partly
Female,15 - 24,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Occasionally,No,No,Yes,No,No,Check Newsfeed ,Yes,Partly
Female,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,No,Prefer not to say,No,Prefer not to say,Check Newsfeed ,No,Partly
Female,25 - 45,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",facebook,Occasionally,No,No,No,No,No,Check Newsfeed ,No,Others
Female,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Facebook,Frequently,Yes,Yes,Yes,Yes,Yes,Chat,Yes,Greatly
Female,25 - 44,Employed,3,Less than 1 hour,"Smart phones (Android,iOS,etc)",Facebook,Occasionally,No,No,Yes,No,No,Chat,Yes,Partly
Female,25 - 44,Employed,3,2 Hours and above,"Smart phones (Android,iOS,etc)",Instagram,Occasionally,Yes,No,Yes,No,No,Chat,Yes,Partly
Male,25 - 44,Employed,2,2 Hours and above,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,Yes,Yes,No,Yes,Check Newsfeed ,Yes,Partly
Female,25 - 44,Employed,2,Less than 1 hour,"Smart phones (Android,iOS,etc)",,Frequently,Yes,No,Yes,No,No,Others,No,Others
Female,25 - 44,Employed,1,Less than 1 hour,"Smart phones (Android,iOS,etc)",Others,Occasionally,No,No,Yes,No,No,Chat,Yes,Greatly
Female,25 - 44,Employed,3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Frequently,Yes,No,Yes,No,No,Check Newsfeed ,No,
Male,45 - 64,Employed,More than 3,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)","Facebook,Twitter,Others",Frequently,Yes,No,Prefer not to say,Prefer not to say,Yes,"Check Newsfeed,Chat,Others",Yes,Partly
Female,25 - 44,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",Others,Frequently,Yes,No,No,No,No,Chat,No,Others
Female,45 - 64,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,Yes,Prefer not to say,,,,
Male,25 - 44,Employed,1,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Occasionally,No,No,Yes,Yes,Yes,Check Newsfeed ,Yes,Greatly
Male,,Employed,2,More than 1 hour 30 minutes,"Smart phones (Android,iOS,etc)",facebook,Occasionally,Yes,No,No,No,No,Check Newsfeed ,Yes,Partly
